Player;Gls;Ast;CrdY;Sh;Touches;Drib;Fls;Off;Crs;TklW;Recov;Pass
Sebastian Lletget;3;5;4;33;1653;32;21;2;54;25;182;1260
Sebastián Saucedo;2;4;6;41;764;44;28;6;22;15;86;414
Sergio Santos Gomes;4;1;2;22;301;16;25;6;13;8;36;122
Servando Carrasco;0;0;2;0;206;1;15;0;1;1;43;140
Shamit Shome;1;1;3;9;796;12;31;2;4;23;150;533
Shea Salinas;6;3;3;20;845;33;19;5;52;13;109;545
Tajon Buchanan;0;2;0;11;137;9;4;0;9;1;20;50
Teal Bunbury;6;2;2;58;941;33;36;13;26;21;131;440
Theo Bair;2;2;1;13;304;7;13;5;19;8;46;146
Thomas McNamara;2;3;3;17;701;9;20;3;30;6;89;432
Tomás Martínez;5;2;2;53;1396;41;46;3;24;40;196;834
Tony Rocha;0;0;1;2;617;2;19;1;7;18;92;453
Tsubasa Endoh;3;2;1;18;424;9;4;5;18;3;41;279
Uriel Antuna;6;5;1;45;1120;40;25;17;99;10;151;602
Valeri Qazaishvili;8;5;1;106;1254;110;22;11;22;36;137;743
Víctor Rodríguez;2;3;1;24;763;20;10;2;34;10;78;444
Victor Ulloa;1;1;4;9;1353;11;22;0;11;22;205;962
Warren Creavalle;0;1;0;1;191;4;8;1;2;6;47;120
Wil Trapp;0;3;5;4;1948;22;24;0;5;32;259;1474
Wilfried Zahibo;1;1;8;12;982;14;49;0;0;27;193;651
Will Johnson;1;1;2;28;1098;10;15;0;4;25;182;778
Yordy Reyna;7;1;5;56;989;49;35;9;36;13;132;533
