2017-05;65498,00
2017-06;63142,00
2017-07;68418,00
2017-08;67913,00
2017-09;65052,00
2017-10;67352,00
2017-11;64048,00
2017-12;64158,00
2018-01;62976,00
2018-02;55725,00
2018-03;59731,00
2018-04;58817,00
2018-05;64622,00
2018-06;63468,00
2018-07;68149,00
2018-08;67005,00
2018-09;65051,00
2018-10;66869,00
2018-11;63041,00
2018-12;63136,00
2019-01;63179,00
2019-02;54876,00
2019-03;60025,00
2019-04;59142,00
2019-05;63647,00
2019-06;62938,00
2019-07;67855,00
2019-08;66243,00
2019-09;64774,00
2019-10;65872,00
2019-11;61855,00
2019-12;62977,00
2020-01;62199,00
2020-02;56612,00
2020-03;60823,00
2020-04;57708,00
2020-05;62214,00
2020-06;61719,00
2020-07;65803,00
2020-08;63529,00
2020-09;62923,00
2020-10;64085,00
2020-11;59186,00
2020-12;58395,00
